,Precision,Re-Call,F1-Score,Support
Normal,0.6842,0.1,0.1745,130
Attack,0.9999,1.0,0.9999,996608
-----,-----,-----,-----,-----
Accuracy,,,0.9999,996738
Macro AVG,0.842,0.55,0.5872,996738
Weighted AVG,0.9998,0.9999,0.9998,996738
-----,-----,-----,-----,-----
Training Time,26611.418,-----,-----,-----
Test Time-All Packets,10.152,-----,-----,-----
Test Time-Per Packet,0.000010,-----,-----,-----
