,Precision,Re-Call,F1-Score,Support
Normal,0.0,0.0,0.0,130
Attack,0.9999,1.0,0.9999,996608
-----,-----,-----,-----,-----
Accuracy,,,0.9999,996738
Macro AVG,0.4999,0.5,0.5,996738
Weighted AVG,0.9997,0.9999,0.9998,996738
-----,-----,-----,-----,-----
Training Time,14826.710,-----,-----,-----
Test Time-All Packets,5.216,-----,-----,-----
Test Time-Per Packet,0.000005,-----,-----,-----
