,Precision,Re-Call,F1-Score,Support
Normal,0.0231,0.0308,0.0264,130
Attack,0.9999,0.9998,0.9999,996608
-----,-----,-----,-----,-----
Accuracy,,,0.9997,996738
Macro AVG,0.5115,0.5153,0.5131,996738
Weighted AVG,0.9997,0.9997,0.9997,996738
-----,-----,-----,-----,-----
Training Time,31005.591,-----,-----,-----
Test Time-All Packets,9.960,-----,-----,-----
Test Time-Per Packet,0.000010,-----,-----,-----
