,Precision,Re-Call,F1-Score,Support
Normal,0.8571,0.0001,0.0002,71279
Attack,0.756,1.0,0.861,220794
-----,-----,-----,-----,-----
Accuracy,,,0.756,292073
Macro AVG,0.8066,0.5,0.4306,292073
Weighted AVG,0.7807,0.756,0.6509,292073
-----,-----,-----,-----,-----
Training Time,5003.958,-----,-----,-----
Test Time-All Packets,2322.990,-----,-----,-----
Test Time-Per Packet,0.007953,-----,-----,-----
