,Precision,Re-Call,F1-Score,Support
Normal,1.0,0.9658,0.9826,18537
Attack,0.9835,1.0,0.9917,37745
-----,-----,-----,-----,-----
Accuracy,,,0.9887,56282
Macro AVG,0.9917,0.9829,0.9871,56282
Weighted AVG,0.9889,0.9887,0.9887,56282
-----,-----,-----,-----,-----
Training Time,273.089,-----,-----,-----
Test Time-All Packets,5.727,-----,-----,-----
Test Time-Per Packet,0.000102,-----,-----,-----
