,Precision,Re-Call,F1-Score,Support
Normal,0.9752,0.6892,0.8076,30024
Attack,0.6071,0.9647,0.7452,14945
-----,-----,-----,-----,-----
Accuracy,,,0.7808,44969
Macro AVG,0.7911,0.827,0.7764,44969
Weighted AVG,0.8528,0.7808,0.7869,44969
-----,-----,-----,-----,-----
Training Time,3320.957,-----,-----,-----
Test Time-All Packets,3.494,-----,-----,-----
Test Time-Per Packet,0.000078,-----,-----,-----
