,Precision,Re-Call,F1-Score,Support
Normal,0.9911,0.0447,0.0855,30024
Attack,0.3424,0.9992,0.51,14945
-----,-----,-----,-----,-----
Accuracy,,,0.3619,44969
Macro AVG,0.6668,0.5219,0.2977,44969
Weighted AVG,0.7755,0.3619,0.2266,44969
-----,-----,-----,-----,-----
Training Time,388.881,-----,-----,-----
Test Time-All Packets,211.371,-----,-----,-----
Test Time-Per Packet,0.004700,-----,-----,-----
