,Precision,Re-Call,F1-Score,Support
Normal,1.0,0.7208,0.8377,30024
Attack,0.6406,1.0,0.7809,14945
-----,-----,-----,-----,-----
Accuracy,,,0.8136,44969
Macro AVG,0.8203,0.8604,0.8093,44969
Weighted AVG,0.8806,0.8136,0.8189,44969
-----,-----,-----,-----,-----
Training Time,436.633,-----,-----,-----
Test Time-All Packets,207.617,-----,-----,-----
Test Time-Per Packet,0.004617,-----,-----,-----
