,Precision,Re-Call,F1-Score,Support
Normal,0.0054,0.0002,0.0004,30024
Attack,0.3154,0.9255,0.4705,14945
-----,-----,-----,-----,-----
Accuracy,,,0.3077,44969
Macro AVG,0.1604,0.4628,0.2354,44969
Weighted AVG,0.1084,0.3077,0.1566,44969
-----,-----,-----,-----,-----
Training Time,357.485,-----,-----,-----
Test Time-All Packets,198.098,-----,-----,-----
Test Time-Per Packet,0.004405,-----,-----,-----
