,Precision,Re-Call,F1-Score,Support
Normal,0.0,0.0,0.0,130
Attack,0.9999,0.9998,0.9998,996608
-----,-----,-----,-----,-----
Accuracy,,,0.9997,996738
Macro AVG,0.4999,0.4999,0.4999,996738
Weighted AVG,0.9997,0.9997,0.9997,996738
-----,-----,-----,-----,-----
Training Time,9286.017,-----,-----,-----
Test Time-All Packets,4563.493,-----,-----,-----
Test Time-Per Packet,0.004578,-----,-----,-----
