,Precision,Re-Call,F1-Score,Support
Normal,0.9968,0.8106,0.8941,30024
Attack,0.7233,0.9947,0.8375,14945
-----,-----,-----,-----,-----
Accuracy,,,0.8718,44969
Macro AVG,0.86,0.9026,0.8658,44969
Weighted AVG,0.9059,0.8718,0.8753,44969
-----,-----,-----,-----,-----
Training Time,591.231,-----,-----,-----
Test Time-All Packets,0.568,-----,-----,-----
Test Time-Per Packet,0.000013,-----,-----,-----
