,Precision,Re-Call,F1-Score,Support
Normal,0.9977,0.558,0.7157,30024
Attack,0.529,0.9975,0.6914,14945
-----,-----,-----,-----,-----
Accuracy,,,0.704,44969
Macro AVG,0.7634,0.7777,0.7035,44969
Weighted AVG,0.842,0.704,0.7076,44969
-----,-----,-----,-----,-----
Training Time,728.799,-----,-----,-----
Test Time-All Packets,211.307,-----,-----,-----
Test Time-Per Packet,0.004699,-----,-----,-----
