,Precision,Re-Call,F1-Score,Support
Normal,0.0002,0.0615,0.0003,130
Attack,0.9999,0.953,0.9759,996608
-----,-----,-----,-----,-----
Accuracy,,,0.9529,996738
Macro AVG,0.5,0.5073,0.4881,996738
Weighted AVG,0.9997,0.9529,0.9758,996738
-----,-----,-----,-----,-----
Training Time,11024.288,-----,-----,-----
Test Time-All Packets,5177.987,-----,-----,-----
Test Time-Per Packet,0.005195,-----,-----,-----
