,Precision,Re-Call,F1-Score,Support
Normal,0.0,0.0,0.0,130
Attack,0.9996,0.3033,0.4654,996608
-----,-----,-----,-----,-----
Accuracy,,,0.3033,996738
Macro AVG,0.4998,0.1517,0.2327,996738
Weighted AVG,0.9994,0.3033,0.4653,996738
-----,-----,-----,-----,-----
Training Time,6876.672,-----,-----,-----
Test Time-All Packets,3561.353,-----,-----,-----
Test Time-Per Packet,0.003573,-----,-----,-----
