,Precision,Re-Call,F1-Score,Support
Normal,0.6923,0.7508,0.7204,25877
Attack,0.8019,0.7515,0.7759,34743
-----,-----,-----,-----,-----
Accuracy,,,0.7512,60620
Macro AVG,0.7471,0.7512,0.7481,60620
Weighted AVG,0.7552,0.7512,0.7522,60620
-----,-----,-----,-----,-----
Training Time,1124.931,-----,-----,-----
Test Time-All Packets,0.789,-----,-----,-----
Test Time-Per Packet,0.000013,-----,-----,-----
