,Precision,Re-Call,F1-Score,Support
Normal,0.7168,0.1631,0.2658,18537
Attack,0.702,0.9683,0.814,37745
-----,-----,-----,-----,-----
Accuracy,,,0.7031,56282
Macro AVG,0.7094,0.5657,0.5399,56282
Weighted AVG,0.7069,0.7031,0.6334,56282
-----,-----,-----,-----,-----
Training Time,584.050,-----,-----,-----
Test Time-All Packets,447.574,-----,-----,-----
Test Time-Per Packet,0.007952,-----,-----,-----
