,Precision,Re-Call,F1-Score,Support
Normal,0.9906,0.8772,0.9304,18537
Attack,0.9429,0.9959,0.9687,37745
-----,-----,-----,-----,-----
Accuracy,,,0.9568,56282
Macro AVG,0.9668,0.9365,0.9496,56282
Weighted AVG,0.9586,0.9568,0.9561,56282
-----,-----,-----,-----,-----
Training Time,1065.969,-----,-----,-----
Test Time-All Packets,0.633,-----,-----,-----
Test Time-Per Packet,0.000011,-----,-----,-----
