,Precision,Re-Call,F1-Score,Support
Normal,0.6964,0.7648,0.729,28666
Attack,0.713,0.6366,0.6727,26304
-----,-----,-----,-----,-----
Accuracy,,,0.7035,54970
Macro AVG,0.7047,0.7007,0.7008,54970
Weighted AVG,0.7043,0.7035,0.702,54970
-----,-----,-----,-----,-----
Training Time,513.249,-----,-----,-----
Test Time-All Packets,0.629,-----,-----,-----
Test Time-Per Packet,0.000011,-----,-----,-----
