,Precision,Re-Call,F1-Score,Support
Normal,0.6593,0.9894,0.7913,28666
Attack,0.9745,0.4427,0.6088,26304
-----,-----,-----,-----,-----
Accuracy,,,0.7278,54970
Macro AVG,0.8169,0.716,0.7,54970
Weighted AVG,0.8101,0.7278,0.704,54970
-----,-----,-----,-----,-----
Training Time,364.766,-----,-----,-----
Test Time-All Packets,0.580,-----,-----,-----
Test Time-Per Packet,0.000011,-----,-----,-----
