,Precision,Re-Call,F1-Score,Support
Normal,0.8852,0.7398,0.806,21022
Attack,0.7581,0.8948,0.8208,19160
-----,-----,-----,-----,-----
Accuracy,,,0.8137,40182
Macro AVG,0.8217,0.8173,0.8134,40182
Weighted AVG,0.8246,0.8137,0.8131,40182
-----,-----,-----,-----,-----
Training Time,815.403,-----,-----,-----
Test Time-All Packets,0.512,-----,-----,-----
Test Time-Per Packet,0.000013,-----,-----,-----
