,Precision,Re-Call,F1-Score,Support
Normal,0.0284,0.0692,0.0403,130
Attack,0.9999,0.9997,0.9998,996608
-----,-----,-----,-----,-----
Accuracy,,,0.9996,996738
Macro AVG,0.5141,0.5345,0.52,996738
Weighted AVG,0.9998,0.9996,0.9997,996738
-----,-----,-----,-----,-----
Training Time,29382.512,-----,-----,-----
Test Time-All Packets,10.431,-----,-----,-----
Test Time-Per Packet,0.000010,-----,-----,-----
