,Precision,Re-Call,F1-Score,Support
Normal,0.1399,0.4692,0.2155,130
Attack,0.9999,0.9996,0.9998,996608
-----,-----,-----,-----,-----
Accuracy,,,0.9996,996738
Macro AVG,0.5699,0.7344,0.6077,996738
Weighted AVG,0.9998,0.9996,0.9997,996738
-----,-----,-----,-----,-----
Training Time,13353.124,-----,-----,-----
Test Time-All Packets,9.590,-----,-----,-----
Test Time-Per Packet,0.000010,-----,-----,-----
