,Precision,Re-Call,F1-Score,Support
Normal,1.0,0.5923,0.744,130
Attack,0.9999,1.0,1.0,996608
-----,-----,-----,-----,-----
Accuracy,,,0.9999,996738
Macro AVG,1.0,0.7962,0.872,996738
Weighted AVG,0.9999,0.9999,0.9999,996738
-----,-----,-----,-----,-----
Training Time,1458.821,-----,-----,-----
Test Time-All Packets,7.356,-----,-----,-----
Test Time-Per Packet,0.000007,-----,-----,-----
