,Precision,Re-Call,F1-Score,Support
Normal,0.9227,0.4933,0.6429,18537
Attack,0.7975,0.9797,0.8792,37745
-----,-----,-----,-----,-----
Accuracy,,,0.8195,56282
Macro AVG,0.8601,0.7365,0.7611,56282
Weighted AVG,0.8387,0.8195,0.8014,56282
-----,-----,-----,-----,-----
Training Time,46.480,-----,-----,-----
Test Time-All Packets,0.684,-----,-----,-----
Test Time-Per Packet,0.000012,-----,-----,-----
