MethodShortName,Results,Precision(Normal),Precision(Attack),Re-Call(Normal),Re-Call(Attack),F1-Score(Normal),F1-Score(Attack),Support(Normal),Support(Attack),Support,Accuracy,Training Time,Test Time-All Packets,Test Time-Per Packet
SGDC_LinearReg._BS,SGDC_Linear Regression_BS,0.982,0.8774,0.8145,0.9889,0.8904,0.9298,25877,34743,60620,0.9144,1856.39,0.636,0.00001
SGDC_LinearReg._FS,SGDC_Linear Regression_FS,0.4629,0.9846,0.9971,0.1383,0.6323,0.2426,25877,34743,60620,0.5049,1535.563,0.904,0.000015
SGDC_LinearReg._CC,SGDC_Linear Regression_CC,0.4486,0.5863,0.3977,0.6358,0.4216,0.6101,25877,34743,60620,0.5342,1789.566,0.56,0.000009
SGDC_RidgeReg._IC,SGDC_Ridge Regression_IP,0.9993,0.6808,0.3706,0.9998,0.5406,0.81,25877,34743,60620,0.7312,65.893,0.687,0.000011
SGDC_RidgeReg._BS,SGDC_Ridge Regression_BS,0.982,0.8774,0.8145,0.9889,0.8904,0.9298,25877,34743,60620,0.9144,1828.532,0.72,0.000012
SGDC_RidgeReg._FS,SGDC_Ridge Regression_FS,0.4629,0.9846,0.9971,0.1383,0.6323,0.2426,25877,34743,60620,0.5049,1626.104,0.678,0.000011
SGDC_RidgeReg._CC,SGDC_Ridge Regression_CC,0.4486,0.5863,0.3977,0.6358,0.4216,0.6101,25877,34743,60620,0.5342,1725.93,0.93,0.000015
SGDC_LogisticReg.IC,SGDC_Logistic Regression_IP,0.728,0.9359,0.9319,0.7406,0.8174,0.8269,25877,34743,60620,0.8223,630.512,0.662,0.000011
SGDC_LogisticReg.BS,SGDC_Logistic Regression_BS,0.6631,0.8035,0.767,0.7098,0.7113,0.7537,25877,34743,60620,0.7342,442.782,0.67,0.000011
SGDC_LogisticReg.FS,SGDC_Logistic Regression_FS,0.9986,0.9895,0.9858,0.999,0.9922,0.9942,25877,34743,60620,0.9934,219.811,0.988,0.000016
SGDC_LogisticReg.CC,SGDC_Logistic Regression_CC,0.4486,0.5863,0.3977,0.6358,0.4216,0.6101,25877,34743,60620,0.5342,1665.54,0.607,0.00001
