,Precision,Re-Call,F1-Score,Support
Normal,0.0,0.0,0.0,71279
Attack,0.756,1.0,0.861,220794
-----,-----,-----,-----,-----
Accuracy,,,0.756,292073
Macro AVG,0.378,0.5,0.4305,292073
Weighted AVG,0.5715,0.756,0.6509,292073
-----,-----,-----,-----,-----
Training Time,2851.846,-----,-----,-----
Test Time-All Packets,1351.608,-----,-----,-----
Test Time-Per Packet,0.004628,-----,-----,-----
