,Precision,Re-Call,F1-Score,Support
Normal,0.977,0.8699,0.9204,18537
Attack,0.9394,0.99,0.964,37745
-----,-----,-----,-----,-----
Accuracy,,,0.9504,56282
Macro AVG,0.9582,0.9299,0.9422,56282
Weighted AVG,0.9518,0.9504,0.9496,56282
-----,-----,-----,-----,-----
Training Time,3268.461,-----,-----,-----
Test Time-All Packets,2.804,-----,-----,-----
Test Time-Per Packet,0.000050,-----,-----,-----
