,Precision,Re-Call,F1-Score,Support
Normal,0.7232,0.6325,0.6748,25877
Attack,0.7497,0.8196,0.7831,34743
-----,-----,-----,-----,-----
Accuracy,,,0.7398,60620
Macro AVG,0.7364,0.7261,0.729,60620
Weighted AVG,0.7384,0.7398,0.7369,60620
-----,-----,-----,-----,-----
Training Time,1295.194,-----,-----,-----
Test Time-All Packets,0.646,-----,-----,-----
Test Time-Per Packet,0.000011,-----,-----,-----
