,Precision,Re-Call,F1-Score,Support
Normal,0.8474,0.4903,0.6211,18537
Attack,0.7926,0.9566,0.8669,37745
-----,-----,-----,-----,-----
Accuracy,,,0.803,56282
Macro AVG,0.82,0.7234,0.744,56282
Weighted AVG,0.8106,0.803,0.786,56282
-----,-----,-----,-----,-----
Training Time,771.808,-----,-----,-----
Test Time-All Packets,0.596,-----,-----,-----
Test Time-Per Packet,0.000011,-----,-----,-----
