,Precision,Re-Call,F1-Score,Support
Normal,0.5273,0.6627,0.5873,18537
Attack,0.8104,0.7082,0.7559,37745
-----,-----,-----,-----,-----
Accuracy,,,0.6932,56282
Macro AVG,0.6689,0.6855,0.6716,56282
Weighted AVG,0.7172,0.6932,0.7004,56282
-----,-----,-----,-----,-----
Training Time,79.722,-----,-----,-----
Test Time-All Packets,0.611,-----,-----,-----
Test Time-Per Packet,0.000011,-----,-----,-----
