,Precision,Re-Call,F1-Score,Support
Normal,0.9104,0.9627,0.9358,71279
Attack,0.9877,0.9694,0.9785,220794
-----,-----,-----,-----,-----
Accuracy,,,0.9678,292073
Macro AVG,0.9491,0.9661,0.9572,292073
Weighted AVG,0.9689,0.9678,0.9681,292073
-----,-----,-----,-----,-----
Training Time,6044.763,-----,-----,-----
Test Time-All Packets,2.690,-----,-----,-----
Test Time-Per Packet,0.000009,-----,-----,-----
