,Precision,Re-Call,F1-Score,Support
Normal,0.9742,0.978,0.9761,71279
Attack,0.9929,0.9916,0.9923,220794
-----,-----,-----,-----,-----
Accuracy,,,0.9883,292073
Macro AVG,0.9835,0.9848,0.9842,292073
Weighted AVG,0.9883,0.9883,0.9883,292073
-----,-----,-----,-----,-----
Training Time,14219.454,-----,-----,-----
Test Time-All Packets,6.176,-----,-----,-----
Test Time-Per Packet,0.000021,-----,-----,-----
