,Precision,Re-Call,F1-Score,Support
Normal,0.4873,0.1603,0.2412,25877
Attack,0.583,0.8744,0.6996,34743
-----,-----,-----,-----,-----
Accuracy,,,0.5695,60620
Macro AVG,0.5351,0.5173,0.4704,60620
Weighted AVG,0.5421,0.5695,0.5039,60620
-----,-----,-----,-----,-----
Training Time,509.953,-----,-----,-----
Test Time-All Packets,269.776,-----,-----,-----
Test Time-Per Packet,0.004450,-----,-----,-----
