,Precision,Re-Call,F1-Score,Support
Normal,0.3793,0.9964,0.5494,18537
Attack,0.9912,0.1991,0.3316,37745
-----,-----,-----,-----,-----
Accuracy,,,0.4617,56282
Macro AVG,0.6852,0.5977,0.4405,56282
Weighted AVG,0.7896,0.4617,0.4033,56282
-----,-----,-----,-----,-----
Training Time,494.308,-----,-----,-----
Test Time-All Packets,219.956,-----,-----,-----
Test Time-Per Packet,0.003908,-----,-----,-----
