,Precision,Re-Call,F1-Score,Support
Normal,0.728,0.9319,0.8174,25877
Attack,0.9359,0.7406,0.8269,34743
-----,-----,-----,-----,-----
Accuracy,,,0.8223,60620
Macro AVG,0.8319,0.8363,0.8221,60620
Weighted AVG,0.8471,0.8223,0.8228,60620
-----,-----,-----,-----,-----
Training Time,630.512,-----,-----,-----
Test Time-All Packets,0.662,-----,-----,-----
Test Time-Per Packet,0.000011,-----,-----,-----
