,Precision,Re-Call,F1-Score,Support
Normal,0.6631,0.767,0.7113,25877
Attack,0.8035,0.7098,0.7537,34743
-----,-----,-----,-----,-----
Accuracy,,,0.7342,60620
Macro AVG,0.7333,0.7384,0.7325,60620
Weighted AVG,0.7436,0.7342,0.7356,60620
-----,-----,-----,-----,-----
Training Time,442.782,-----,-----,-----
Test Time-All Packets,0.670,-----,-----,-----
Test Time-Per Packet,0.000011,-----,-----,-----
