,Precision,Re-Call,F1-Score,Support
Normal,0.0001,0.5,0.0001,130
Attack,0.999,0.0642,0.1206,996608
-----,-----,-----,-----,-----
Accuracy,,,0.0642,996738
Macro AVG,0.4995,0.2821,0.0604,996738
Weighted AVG,0.9989,0.0642,0.1206,996738
-----,-----,-----,-----,-----
Training Time,7601.288,-----,-----,-----
Test Time-All Packets,4088.157,-----,-----,-----
Test Time-Per Packet,0.004102,-----,-----,-----
