,Precision,Re-Call,F1-Score,Support
Normal,0.4629,0.9971,0.6323,25877
Attack,0.9846,0.1383,0.2426,34743
-----,-----,-----,-----,-----
Accuracy,,,0.5049,60620
Macro AVG,0.7238,0.5677,0.4374,60620
Weighted AVG,0.7619,0.5049,0.4089,60620
-----,-----,-----,-----,-----
Training Time,1535.563,-----,-----,-----
Test Time-All Packets,0.904,-----,-----,-----
Test Time-Per Packet,0.000015,-----,-----,-----
