,Precision,Re-Call,F1-Score,Support
Normal,0.9603,0.8687,0.9122,25877
Attack,0.9087,0.9732,0.9399,34743
-----,-----,-----,-----,-----
Accuracy,,,0.9286,60620
Macro AVG,0.9345,0.921,0.926,60620
Weighted AVG,0.9307,0.9286,0.928,60620
-----,-----,-----,-----,-----
Training Time,2386.372,-----,-----,-----
Test Time-All Packets,2.815,-----,-----,-----
Test Time-Per Packet,0.000046,-----,-----,-----
