,Precision,Re-Call,F1-Score,Support
Normal,0.994,0.9482,0.9705,71279
Attack,0.9835,0.9981,0.9908,220794
-----,-----,-----,-----,-----
Accuracy,,,0.986,292073
Macro AVG,0.9887,0.9732,0.9807,292073
Weighted AVG,0.9861,0.986,0.9858,292073
-----,-----,-----,-----,-----
Training Time,5057.794,-----,-----,-----
Test Time-All Packets,2.604,-----,-----,-----
Test Time-Per Packet,0.000009,-----,-----,-----
