,Precision,Re-Call,F1-Score,Support
Normal,0.7125,0.1012,0.1772,18537
Attack,0.6894,0.9799,0.8094,37745
-----,-----,-----,-----,-----
Accuracy,,,0.6905,56282
Macro AVG,0.701,0.5406,0.4933,56282
Weighted AVG,0.697,0.6905,0.6012,56282
-----,-----,-----,-----,-----
Training Time,521.449,-----,-----,-----
Test Time-All Packets,259.073,-----,-----,-----
Test Time-Per Packet,0.004603,-----,-----,-----
