,Precision,Re-Call,F1-Score,Support
Normal,0.3274,0.99,0.4921,18537
Attack,0.1948,0.0012,0.0024,37745
-----,-----,-----,-----,-----
Accuracy,,,0.3269,56282
Macro AVG,0.2611,0.4956,0.2472,56282
Weighted AVG,0.2385,0.3269,0.1637,56282
-----,-----,-----,-----,-----
Training Time,524.282,-----,-----,-----
Test Time-All Packets,263.747,-----,-----,-----
Test Time-Per Packet,0.004686,-----,-----,-----
