,Precision,Re-Call,F1-Score,Support
Normal,0.8974,0.9997,0.9458,30024
Attack,0.9993,0.7704,0.8701,14945
-----,-----,-----,-----,-----
Accuracy,,,0.9235,44969
Macro AVG,0.9484,0.8851,0.9079,44969
Weighted AVG,0.9313,0.9235,0.9206,44969
-----,-----,-----,-----,-----
Training Time,784.990,-----,-----,-----
Test Time-All Packets,0.927,-----,-----,-----
Test Time-Per Packet,0.000021,-----,-----,-----
