,Precision,Re-Call,F1-Score,Support
Normal,0.9791,0.9715,0.9753,71279
Attack,0.9908,0.9933,0.9921,220794
-----,-----,-----,-----,-----
Accuracy,,,0.988,292073
Macro AVG,0.9849,0.9824,0.9837,292073
Weighted AVG,0.988,0.988,0.988,292073
-----,-----,-----,-----,-----
Training Time,4147.525,-----,-----,-----
Test Time-All Packets,2.650,-----,-----,-----
Test Time-Per Packet,0.000009,-----,-----,-----
