,Precision,Re-Call,F1-Score,Support
Normal,0.2147,0.1499,0.1765,28666
Attack,0.3029,0.4026,0.3457,26304
-----,-----,-----,-----,-----
Accuracy,,,0.2708,54970
Macro AVG,0.2588,0.2763,0.2611,54970
Weighted AVG,0.2569,0.2708,0.2575,54970
-----,-----,-----,-----,-----
Training Time,153.720,-----,-----,-----
Test Time-All Packets,1.752,-----,-----,-----
Test Time-Per Packet,0.000032,-----,-----,-----
