,Precision,Re-Call,F1-Score,Support
Normal,0.9968,0.6653,0.798,30024
Attack,0.5969,0.9957,0.7463,14945
-----,-----,-----,-----,-----
Accuracy,,,0.7751,44969
Macro AVG,0.7968,0.8305,0.7721,44969
Weighted AVG,0.8639,0.7751,0.7808,44969
-----,-----,-----,-----,-----
Training Time,1021.717,-----,-----,-----
Test Time-All Packets,0.524,-----,-----,-----
Test Time-Per Packet,0.000012,-----,-----,-----
