,Precision,Re-Call,F1-Score,Support
Normal,0.877,0.9411,0.9079,30024
Attack,0.8613,0.7348,0.793,14945
-----,-----,-----,-----,-----
Accuracy,,,0.8725,44969
Macro AVG,0.8691,0.838,0.8505,44969
Weighted AVG,0.8718,0.8725,0.8697,44969
-----,-----,-----,-----,-----
Training Time,788.060,-----,-----,-----
Test Time-All Packets,0.534,-----,-----,-----
Test Time-Per Packet,0.000012,-----,-----,-----
