,Precision,Re-Call,F1-Score,Support
Normal,0.9774,0.9423,0.9595,71279
Attack,0.9816,0.993,0.9872,220794
-----,-----,-----,-----,-----
Accuracy,,,0.9806,292073
Macro AVG,0.9795,0.9676,0.9734,292073
Weighted AVG,0.9806,0.9806,0.9805,292073
-----,-----,-----,-----,-----
Training Time,5083.142,-----,-----,-----
Test Time-All Packets,1.909,-----,-----,-----
Test Time-Per Packet,0.000007,-----,-----,-----
