,Precision,Re-Call,F1-Score,Support
Normal,0.983,0.9638,0.9733,71279
Attack,0.9884,0.9946,0.9915,220794
-----,-----,-----,-----,-----
Accuracy,,,0.9871,292073
Macro AVG,0.9857,0.9792,0.9824,292073
Weighted AVG,0.9871,0.9871,0.9871,292073
-----,-----,-----,-----,-----
Training Time,7069.110,-----,-----,-----
Test Time-All Packets,2.724,-----,-----,-----
Test Time-Per Packet,0.000009,-----,-----,-----
